question,answer,cleaned_question,cleaned_answer
you think i should quit playing.,save your money for school.,think quit playing,save money school
what's on tv?,nothing much.,tv,
nothing much.,what about the baseball game?,,baseball game
what about the baseball game?,it got rained out.,baseball game,get rain
it got rained out.,rained out?,get rain,rain
rained out?,"yes, rained out.",rain,yes rain
"yes, rained out.",how could that be?,yes rain,
how could that be?,"well, you can't play baseball in a rainstorm.",,play baseball rainstorm
"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.,play baseball rainstorm,think play dome
i thought they were playing under a dome.,the dome doesn't close.,think play dome,dome close
the dome doesn't close.,why doesn't it close?,dome close,close
why doesn't it close?,who knows? they said they'll fix it before next season.,close,know say fix season
can i try your coffee?,sure. here you go.,try coffee,sure
sure. here you go.,"hmm, that's not bad.",sure,hmm bad
"hmm, that's not bad.",there's nothing in it.,hmm bad,
there's nothing in it.,what do you mean?,,mean
what do you mean?,"i mean, it's just coffee.",mean,mean coffee
"i mean, it's just coffee.",i figured that.,mean coffee,figure
i figured that.,it's not too bitter for you?,figure,bitter
it's not too bitter for you?,"it's a little bitter, but it's okay.",bitter,little bitter okay
"it's a little bitter, but it's okay.",there's no sugar or cream in it.,little bitter okay,sugar cream
there's no sugar or cream in it.,"no, it's a taste you have to get used to.",sugar cream,taste
"no, it's a taste you have to get used to.",sort of like beer.,taste,sort like beer
let's take a walk.,what's the weather like?,let walk,weather like
what's the weather like?,let me step outside and see.,weather like,let step outside
let me step outside and see.,"it's a little chilly, right?",let step outside,little chilly right
"it's a little chilly, right?","yes, it is.",little chilly right,yes
"yes, it is.",i'll put on my cap.,yes,cap
i'll put on my cap.,"wear a jacket, too.",cap,wear jacket
"wear a jacket, too.",i wonder if i should bring my gloves.,wear jacket,wonder bring glove
i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder.",wonder bring glove,maybe case get cold
"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.,maybe case get cold,glove pocket
i'll put a glove in each pocket.,we'll get warmer as we walk.,glove pocket,warm walk
we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down.",warm walk,yes get cold sun go
look at the car chase on tv!,that driver is crazy.,look car chase tv,driver crazy
that driver is crazy.,i can't believe he hasn't crashed.,driver crazy,believe crash
i can't believe he hasn't crashed.,how fast is he going?,believe crash,fast go
how fast is he going?,they say he's going 80 miles per hour.,fast go,go mile hour
they say he's going 80 miles per hour.,he's going to kill someone.,go mile hour,go kill
he's going to kill someone.,look! he just hit that car.,go kill,look hit car
look! he just hit that car.,"oh, my goodness. no one is safe on the streets.",look hit car,oh goodness safe street
"oh, my goodness. no one is safe on the streets.",now he's slowing down.,oh goodness safe street,slow
now he's slowing down.,maybe he ran out of gas.,slow,maybe run gas
maybe he ran out of gas.,look! he just got out of the car and started running.,maybe run gas,look get car start run
look! he just got out of the car and started running.,i hope the police catch him.,look get car start run,hope police catch
tv news is so stupid.,they shouldn't even call it news.,tv news stupid,news
they shouldn't even call it news.,last night they told us about a cat in a sofa.,news,night tell cat sofa
last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.,night tell cat sofa,yesterday tell dog pipe
yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.,yesterday tell dog pipe,week tell bear yard
last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.,week tell bear yard,month tell mouse restaurant
last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.,month tell mouse restaurant,weatherman tell temperature town
the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.,weatherman tell temperature town,sport guy show player fight
the sports guy shows us players fighting.,"they always tell us ""what's next.""",sport guy show player fight,tell
"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is.",tell,sound exciting
"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.,sound exciting,like news kid
it's more like news for kids.,they should have kid reporters.,like news kid,kid reporter
i love my computer.,computers are so cool.,love computer,computer cool
computers are so cool.,i love to go online.,computer cool,love online
i love to go online.,the internet is amazing.,love online,internet amazing
the internet is amazing.,you can travel all over the world.,internet amazing,travel world
you can travel all over the world.,i know. i went to china yesterday.,travel world,know go china yesterday
i know. i went to china yesterday.,what did you do?,know go china yesterday,
what did you do?,i stood on the great wall and looked all around.,,stand great wall look
i stood on the great wall and looked all around.,what was it like?,stand great wall look,like
what was it like?,it was like the real thing.,like,like real thing
it was like the real thing.,it was like being there?,like real thing,like
it was like being there?,"yes, i felt like i was actually there.",like,yes feel like actually
the beatles are the best.,they are the best musical group ever.,beatle good,good musical group
they are the best musical group ever.,i love all their songs.,good musical group,love song
i love all their songs.,i don't know which one i like the best.,love song,know like good
i don't know which one i like the best.,i like the ones i can sing along with.,know like good,like one sing
i like the ones i can sing along with.,"so do i, like ""she loves you.""",like one sing,like love
"so do i, like ""she loves you.""","she loves you, yeah, yeah, yeah!...",like love,love yeah yeah yeah
"she loves you, yeah, yeah, yeah!...",and you know you should be glad!,love yeah yeah yeah,know glad
and you know you should be glad!,what a great song.,know glad,great song
what a great song.,"how about ""let it be?""",great song,let
"how about ""let it be?""","oh, yes! ""let it be, let it be""",let,oh yes let let
"oh, yes! ""let it be, let it be""","there will be an answer, let it be!",oh yes let let,answer let
let's go to a movie.,i'd rather not.,let movie,
i'd rather not.,why not?,,
why not?,you know i don't like crowds.,,know like crowd
you know i don't like crowds.,let's go to an early movie.,know like crowd,let early movie
let's go to an early movie.,"okay, that won't be very crowded.",let early movie,okay will crowded
"okay, that won't be very crowded.",what would you like to see?,okay will crowded,like
what would you like to see?,"oh, i don't care. you're the one who wants to go out.",like,oh care want
"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness.""",oh care want,want pursuit happyness
"well, i want to see ""the pursuit of happyness.""",what have you heard about it?,want pursuit happyness,hear
what have you heard about it?,it's based on a true story about a divorced man and his young son.,hear,base true story divorced man young son
it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending.",base true story divorced man young son,hope happy ending
what's your favorite thing to do?,i like to watch people.,favorite thing,like watch people
i like to watch people.,that's your favorite thing to do?,like watch people,favorite thing
that's your favorite thing to do?,"well, it's one of them.",favorite thing,
"well, it's one of them.",where do you go to watch people?,,watch people
where do you go to watch people?,my girlfriend and i sit outside starbucks.,watch people,girlfriend sit outside starbuck
my girlfriend and i sit outside starbucks.,that sounds like a good spot.,girlfriend sit outside starbuck,sound like good spot
that sounds like a good spot.,we watch people walk by with their dogs.,sound like good spot,watch people walk dog
we watch people walk by with their dogs.,i guess you see lots of different dogs.,watch people walk dog,guess lot different dog
i guess you see lots of different dogs.,we don't even know what kind most of them are.,guess lot different dog,know kind
we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common.",know kind,lot different kind thing common
"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet.",lot different kind thing common,yes love sniff meet
they call him father dollar bill.,"yes, he was on the tv news today.",father dollar bill,yes tv news today
"yes, he was on the tv news today.",every easter sunday he gives away money.,yes tv news today,easter sunday give away money
every easter sunday he gives away money.,is it his money?,easter sunday give away money,money
is it his money?,no. movie stars give him money to give to homeless people.,money,movie star money homeless people
no. movie stars give him money to give to homeless people.,how much money does he give away?,movie star money homeless people,money away
how much money does he give away?,"this year he gave away $15,000.",money away,year give away
"this year he gave away $15,000.",that's a lot of money.,year give away,lot money
that's a lot of money.,he gave $100 to people in wheelchairs.,lot money,give people wheelchairs
he gave $100 to people in wheelchairs.,what about the other homeless people?,give people wheelchairs,homeless people
what about the other homeless people?,they got $1 each.,homeless people,get
they got $1 each.,people stood in line just to get one dollar?!,get,people stand line dollar
old movies are the best.,even though they're in black and white.,old movie good,black white
even though they're in black and white.,a good story is more important than color.,black white,good story important color
a good story is more important than color.,actors didn't curse back then.,good story important color,actor curse
actors didn't curse back then.,and there was no violence.,actor curse,violence
and there was no violence.,people today don't like that.,violence,people today like
people today don't like that.,"no, today people like lots of action.",people today like,today people like lot action
"no, today people like lots of action.",i like a good story.,today people like lot action,like good story
i like a good story.,i like to see actors who are like real people.,like good story,like actor like real people
i like to see actors who are like real people.,like real people with real problems.,like actor like real people,like real people real problem
like real people with real problems.,they still make movies like that.,like real people real problem,movie like
they still make movies like that.,"yes, but they never make much money.",movie like,yes money
do you get pbs on tv?,"yes, everybody gets the public broadcasting system.",pbs tv,yes everybody get public broadcasting system
"yes, everybody gets the public broadcasting system.",it puts me to sleep.,yes everybody get public broadcasting system,put sleep
it puts me to sleep.,tell me about it.,put sleep,tell
tell me about it.,a gardening show follows a knitting show.,tell,gardening follow knitting
a gardening show follows a knitting show.,a cooking show follows a sewing show.,gardening follow knitting,cooking follow sewing
a cooking show follows a sewing show.,a travel show follows another travel show.,cooking follow sewing,travel follow travel
a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!,travel follow travel,go world dozen time
i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.,go world dozen time,add old tv show old movie
now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.,add old tv show old movie,sure like interesting change
i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows.",sure like interesting change,people donate money pbs offer new show
"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.,people donate money pbs offer new show,want donate public tv free
"i love to watch ""judge judy.""",is that a tv show?,love watch judge judy,tv
is that a tv show?,yes. it's on every afternoon.,tv,yes afternoon
yes. it's on every afternoon.,what's so good about it?,yes afternoon,good
what's so good about it?,they have interesting lawsuits.,good,interesting lawsuit
they have interesting lawsuits.,such as?,interesting lawsuit,
such as?,"yesterday, a woman complained about a cell phone she bought on ebay.",,yesterday woman complain cell phone buy ebay
"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?,yesterday woman complain cell phone buy ebay,wrong phone
was something wrong with the phone?,it works only in canada.,wrong phone,work canada
it works only in canada.,did the seller know that?,work canada,seller know
did the seller know that?,"yes, and he didn't tell the buyer.",seller know,yes tell buyer
"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.,yes tell buyer,hope judge judy seller phone
that woman is a very good singer.,"yes, but she looks like a man.",woman good singer,yes look like man
"yes, but she looks like a man.",what difference does it make?,yes look like man,difference
what difference does it make?,female singers are supposed to be pretty.,difference,female singer suppose pretty
female singers are supposed to be pretty.,singers are supposed to sound good.,female singer suppose pretty,singer suppose sound good
singers are supposed to sound good.,"they should look good, too.",singer suppose sound good,look good
"they should look good, too.",there are lots of ugly men singers.,look good,lot ugly man singer
there are lots of ugly men singers.,men singers don't have to look good.,lot ugly man singer,man singer look good
men singers don't have to look good.,then neither do women singers.,man singer look good,woman singer
then neither do women singers.,"well, i would never buy her cd.",woman singer,buy cd
"well, i would never buy her cd.",but you would buy her cd if she was pretty?,buy cd,buy cd pretty
but you would buy her cd if she was pretty?,yes. i would buy all of her cds.,buy cd pretty,yes buy cd
all the tv stations are going to go digital.,"yes, that will occur next month.",tv station go digital,yes occur month
"yes, that will occur next month.",most of them are already broadcasting in digital.,yes occur month,broadcast digital
most of them are already broadcasting in digital.,the digital signal is very clear.,broadcast digital,digital signal clear
the digital signal is very clear.,"oh, no, it isn't!",digital signal clear,oh
"oh, no, it isn't!",what do you mean?,oh,mean
what do you mean?,i can't get a single channel.,mean,single channel
i can't get a single channel.,do you have a digital tv?,single channel,digital tv
do you have a digital tv?,of course. but i don't have cable.,digital tv,course cable
of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna.",course cable,need cable need good antenna
"you don't need to have cable, but you do need a good antenna.",but i have rabbit ears.,need cable need good antenna,rabbit ear
but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.,rabbit ear,rabbit ear strong buy digital antenna
i've got a date for you.,"oh, really?",get date,oh
"oh, really?",are you interested?,oh,interested
are you interested?,maybe. what is she like?,interested,maybe like
maybe. what is she like?,she's got a great personality.,maybe like,get great personality
she's got a great personality.,uh-oh. that means that she's fat and ugly.,get great personality,uh oh mean fat ugly
uh-oh. that means that she's fat and ugly.,she's cute.,uh oh mean fat ugly,cute
she's cute.,"okay, so she's not ugly; she's just fat.",cute,okay ugly fat
"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.,okay ugly fat,weigh pound
she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?",weigh pound,okay fat problem
"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?,okay fat problem,say problem
who said there is a problem with her?,the problem is she has no problemsshe's too good for me!,say problem,problem good
i think you're very pretty.,thank you.,think pretty,thank
thank you.,would you have dinner with me?,thank,dinner
would you have dinner with me?,i would like to.,dinner,like
i would like to.,can i pick you up friday night?,like,pick friday night
can i pick you up friday night?,what time?,pick friday night,time
what time?,eight o'clock.,time,
eight o'clock.,that sounds great.,,sound great
that sounds great.,we'll go to a french restaurant.,sound great,french restaurant
we'll go to a french restaurant.,i've never been to a french restaurant.,french restaurant,french restaurant
i've never been to a french restaurant.,i think you'll love the food.,french restaurant,think love food
i think you'll love the food.,i'm not going to eat any snails!,think love food,go eat snail
you have pretty eyes.,thank you. so do you.,pretty eye,thank
thank you. so do you.,i wish my eyes were blue.,thank,wish eye blue
i wish my eyes were blue.,what's the matter with green eyes?,wish eye blue,matter green eye
what's the matter with green eyes?,"nothing, except my favorite color is blue.",matter green eye,favorite color blue
"nothing, except my favorite color is blue.",maybe in your next life you'll have blue eyes.,favorite color blue,maybe life blue eye
maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?,maybe life blue eye,fish life
but what if i'm a fish in my next life?,i think some fish have blue eyes.,fish life,think fish blue eye
i think some fish have blue eyes.,i hope i don't come back as a fish.,think fish blue eye,hope come fish
i hope i don't come back as a fish.,i hope i come back as a cat.,hope come fish,hope come cat
i hope i come back as a cat.,cats have beautiful eyes.,hope come cat,cat beautiful eye
cats have beautiful eyes.,i would love to have blue cat-eyes.,cat beautiful eye,love blue cat eye
i love you.,"i love you, too.",love,love
"i love you, too.",i loved you the first day i saw you.,love,love day see
i loved you the first day i saw you.,it was love at first sight?,love day see,love sight
it was love at first sight?,"yes, it was love at first sight.",love sight,yes love sight
"yes, it was love at first sight.",i didn't love you at first.,yes love sight,love
i didn't love you at first.,i know. i had to chase you for a while.,love,know chase
i know. i had to chase you for a while.,"yes, you chased me and then you caught me.",know chase,yes chase catch
"yes, you chased me and then you caught me.",now you're mine forever.,yes chase catch,forever
now you're mine forever.,and you're mine forever.,forever,forever
and you're mine forever.,we'll grow old together.,forever,grow old
we'll grow old together.,and be happy together.,grow old,happy
i'm in love with that girl.,have you told her?,love girl,tell
have you told her?,of course not.,tell,course
of course not.,why not?,course,
why not?,she would laugh at me.,,laugh
she would laugh at me.,how do you know?,laugh,know
how do you know?,because they always do.,know,
because they always do.,maybe she's different.,,maybe different
maybe she's different.,they're all the same.,maybe different,
they're all the same.,just ask her out to dinner.,,ask dinner
just ask her out to dinner.,and then what?,ask dinner,
and then what?,and then she'll know that you like her.,,know like
give me a hug.,i'm not in the mood.,hug,mood
i'm not in the mood.,what's the matter?,mood,matter
what's the matter?,i saw you looking at that woman.,matter,see look woman
i saw you looking at that woman.,what woman?,see look woman,woman
what woman?,"you know, that woman with the big boobs.",woman,know woman big boob
"you know, that woman with the big boobs.",i was not looking at her.,know woman big boob,look
i was not looking at her.,"you were, too.",look,
"you were, too.",i'm not interested in her.,,interested
i'm not interested in her.,then why were you looking at her?,interested,look
then why were you looking at her?,i was looking at something else.,look,look
i was looking at something else.,"oh, really? then spend tonight looking at the sofa.",look,oh spend tonight look sofa
would you like to go on a blind date?,you must be joking.,like blind date,joke
you must be joking.,"no, i'm serious.",joke,
"no, i'm serious.",i don't want to date a blind woman.,,want date blind woman
i don't want to date a blind woman.,a blind date doesn't mean that she is blind!,want date blind woman,blind date mean blind
a blind date doesn't mean that she is blind!,what does it mean?,blind date mean blind,mean
what does it mean?,a blind date is a date with someone you don't know.,mean,blind date date know
a blind date is a date with someone you don't know.,why would i date someone i don't even know?,blind date date know,date know
why would i date someone i don't even know?,to try something new and exciting.,date know,try new exciting
to try something new and exciting.,what if i don't like her?,try new exciting,like
what if i don't like her?,then you don't date her again.,like,date
i have a date tomorrow night.,really? who with?,date tomorrow night,
really? who with?,a girl i met at the market.,,girl meet market
a girl i met at the market.,you met a girl at the supermarket?,girl meet market,meet girl supermarket
you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.,meet girl supermarket,stand slow line checkout counter
she was standing behind me in a really slow line at the checkout counter.,what did you say to her?,stand slow line checkout counter,
what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them.",,pineapple cart ask find
"i had two pineapples in my cart, and she asked where i had found them.",she asked you about your pineapples?,pineapple cart ask find,ask pineapple
she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine.",ask pineapple,tell get shelf offer
"i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.,tell get shelf offer,nice
that was nice of you.,"she asked me how she could return the favor, so i asked her out.",nice,ask return favor ask
"she asked me how she could return the favor, so i asked her out.",sometimes a slow line can be a good thing.,ask return favor ask,slow line good thing
did you have a date friday night?,"yes, in fact, i did.",date friday night,yes fact
"yes, in fact, i did.",who did you go out with?,yes fact,
who did you go out with?,a man i met in a coffee shop.,,man meet coffee shop
a man i met in a coffee shop.,where did you go?,man meet coffee shop,
where did you go?,we went to a nice restaurant.,,go nice restaurant
we went to a nice restaurant.,anywhere else?,go nice restaurant,
anywhere else?,then we went to a jazz club.,,go jazz club
then we went to a jazz club.,that sounds like a nice date.,go jazz club,sound like nice date
that sounds like a nice date.,"yes, it was pleasant.",sound like nice date,yes pleasant
"yes, it was pleasant.",but you won't date him again?,yes pleasant,will date
but you won't date him again?,"no. he was nice, but there was no chemistry.",will date,nice chemistry
i had the worst date the other night.,what happened?,bad date night,happen
what happened?,"first of all, he was half an hour late.",happen,half hour late
"first of all, he was half an hour late.",that's not a good start.,half hour late,good start
that's not a good start.,then he didn't bother to apologize.,good start,bother apologize
then he didn't bother to apologize.,that's rude.,bother apologize,rude
that's rude.,then he drove too fast to the restaurant.,rude,drive fast restaurant
then he drove too fast to the restaurant.,that's dangerous.,drive fast restaurant,dangerous
that's dangerous.,i thought about getting out and taking a taxi home.,dangerous,think get take taxi home
i thought about getting out and taking a taxi home.,what happened at the restaurant?,think get take taxi home,happen restaurant
what happened at the restaurant?,"we had a $40 meal, and he left a $1 tip!",happen restaurant,meal leave tip
"we had a $40 meal, and he left a $1 tip!",i guess you can't go back to that restaurant.,meal leave tip,guess restaurant
i don't like that man.,why not?,like man,
why not?,he's a dirty old man.,,dirty old man
he's a dirty old man.,what do you mean?,dirty old man,mean
what do you mean?,"he's old enough to be my father, yet he asked me out.",mean,old father ask
"he's old enough to be my father, yet he asked me out.","well, you can't blame a man for asking.",old father ask,blame man ask
"well, you can't blame a man for asking.",he should act his age.,blame man ask,act age
he should act his age.,but a lot of old people are still interested in dating.,act age,lot old people interested date
but a lot of old people are still interested in dating.,they should find a nice hobby.,lot old people interested date,find nice hobby
they should find a nice hobby.,just wait until you're 50 years old.,find nice hobby,wait year old
just wait until you're 50 years old.,dating will be the furthest thing from my mind.,wait year old,date furth thing mind
dating will be the furthest thing from my mind.,that's what you say now. wait till you're 50.,date furth thing mind,wait till
does your girlfriend ever make you angry?,sometimes.,girlfriend angry,
sometimes.,what does she do?,,
what does she do?,"just yesterday, i told her i wouldn't trade her for all the money in the world.",,yesterday tell trade money world
"just yesterday, i told her i wouldn't trade her for all the money in the world.",that was a nice thing to say.,yesterday tell trade money world,nice thing
that was a nice thing to say.,that's what i thought.,nice thing,think
that's what i thought.,what did she say?,think,
what did she say?,she laughed! she didn't believe me.,,laugh believe
she laughed! she didn't believe me.,that wasn't very nice of her.,laugh believe,nice
that wasn't very nice of her.,she said that nothing is more important to me than money.,nice,say important money
she said that nothing is more important to me than money.,what did you say?,say important money,
what did you say?,i told her i wouldn't trade her for any other woman in the world.,,tell trade woman world
some people have good noses.,i wish i had a good nose. mine is way too big.,people good nose,wish good nose way big
i wish i had a good nose. mine is way too big.,i don't mean good-looking. i mean good-smelling.,wish good nose way big,mean good look mean good smell
i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.,mean good look mean good smell,oh curse
oh. but that can be a curse.,"yes, because you can be too sensitive to odors.",oh curse,yes sensitive odor
"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.,yes sensitive odor,girlfriend nose like drug dog
i'll say. my girlfriend has a nose like a drug dog.,did she catch you using drugs?,girlfriend nose like drug dog,catch drug
did she catch you using drugs?,sort of. she knows whenever i sneak a cigarette.,catch drug,sort know sneak cigarette
sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatcigarettes stink.,sort know sneak cigarette,need good nose stink
you don't need a good nose for thatcigarettes stink.,"but when i sneak just one cigarette in the morning, she can smell it that evening!",need good nose stink,sneak cigarette morning smell evening
"but when i sneak just one cigarette in the morning, she can smell it that evening!","boy, that is a good nose.",sneak cigarette morning smell evening,boy good nose
"boy, that is a good nose.",i told her she should apply for a job at customs.,boy good nose,tell apply job custom
let's go out to eat.,that sounds like fun.,let eat,sound like fun
that sounds like fun.,where do you want to go?,sound like fun,want
where do you want to go?,let me think a minute.,want,let think minute
let me think a minute.,i feel like chinese.,let think minute,feel like chinese
i feel like chinese.,that sounds delicious.,feel like chinese,sound delicious
that sounds delicious.,i know a good chinese restaurant.,sound delicious,know good chinese restaurant
i know a good chinese restaurant.,how far away is it?,know good chinese restaurant,far away
how far away is it?,it's only 10 minutes from here.,far away,minute
it's only 10 minutes from here.,do we need reservations?,minute,need reservation
do we need reservations?,"oh, no. we can walk right in.",need reservation,oh walk right
"oh, no. we can walk right in.",let's go now. i'm hungry!,oh walk right,let hungry
i can't believe how long this line is.,"this is a popular restaurant, isn't it?",believe long line,popular restaurant
"this is a popular restaurant, isn't it?","yes, but it isn't a fast-food restaurant, is it?",popular restaurant,yes fast food restaurant
"yes, but it isn't a fast-food restaurant, is it?",it's the slowest hamburger in town.,yes fast food restaurant,slow hamburger town
it's the slowest hamburger in town.,that's because they cook it while you wait.,slow hamburger town,cook wait
that's because they cook it while you wait.,yes. that's why it's also the best hamburger in town.,cook wait,yes good hamburger town
yes. that's why it's also the best hamburger in town.,a great burger and great service.,yes good hamburger town,great burger great service
a great burger and great service.,"yes, the workers are very polite.",great burger great service,yes worker polite
"yes, the workers are very polite.",and they're clean.,yes worker polite,clean
and they're clean.,i've been coming here for years.,clean,come year
i've been coming here for years.,me too.,come year,
me too.,excuse me. they just called my number.,,excuse call number
lunch was delicious.,thank you.,lunch delicious,thank
thank you.,what kind of soup was that?,thank,kind soup
what kind of soup was that?,it was tomato soup.,kind soup,tomato soup
it was tomato soup.,that tasted so good.,tomato soup,taste good
that tasted so good.,i put lemon and butter in it.,taste good,lemon butter
i put lemon and butter in it.,"the sandwich was good, too.",lemon butter,sandwich good
"the sandwich was good, too.",everyone likes bacon and tomato sandwiches.,sandwich good,like bacon tomato sandwich
everyone likes bacon and tomato sandwiches.,especially on toast.,like bacon tomato sandwich,especially toast
especially on toast.,"and the pickles were great, too.",especially toast,pickle great
"and the pickles were great, too.",tomorrow we'll have rice and fish for lunch.,pickle great,tomorrow rice fish lunch
tomorrow we'll have rice and fish for lunch.,i can't wait.,tomorrow rice fish lunch,wait
i'm calling the waiter.,what's the matter?,call waiter,matter
what's the matter?,this steak has too much fat.,matter,steak fat
this steak has too much fat.,what do you want the waiter to do?,steak fat,want waiter
what do you want the waiter to do?,bring me a better steak.,want waiter,bring well steak
bring me a better steak.,i wouldn't do that.,bring well steak,
i wouldn't do that.,why not?,,
why not?,"they will drop the new steak on the floor, step on it, and then spit on it.",,drop new steak floor step spit
"they will drop the new steak on the floor, step on it, and then spit on it.",you're crazy.,drop new steak floor step spit,crazy
you're crazy.,then the waiter will give you a big smile as he brings you the new steak.,crazy,waiter big smile bring new steak
then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?,waiter big smile bring new steak,crazy idea
where do you get these crazy ideas?,i used to cook in a restaurant!,crazy idea,cook restaurant
let's leave.,but we just got here.,let leave,get
but we just got here.,did you see the waiter's hands?,get,waiter hand
did you see the waiter's hands?,no.,waiter hand,
no.,he had dirty fingernails.,,dirty fingernail
he had dirty fingernails.,really?,dirty fingernail,
really?,his nails were black!,,nail black
his nails were black!,that's disgusting.,nail black,disgusting
that's disgusting.,and he poured water into our glasses.,disgusting,pour water glass
and he poured water into our glasses.,yuck! no water for me.,pour water glass,yuck water
yuck! no water for me.,"i wonder if the cooks' nails are dirty, too.",yuck water,wonder cook nail dirty
"i wonder if the cooks' nails are dirty, too.",who cares? let's get out of here.,wonder cook nail dirty,care let
this hot bread is delicious.,i like this restaurant because they give you free bread.,hot bread delicious,like restaurant free bread
i like this restaurant because they give you free bread.,"well, i think we are paying for it.",like restaurant free bread,think pay
"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.,think pay,look bill charge bread
no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter.",look bill charge bread,delicious especially butter
"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.,delicious especially butter,think leave fill bread
i think we should just leave after we fill up on the bread.,they probably wouldn't like that.,think leave fill bread,probably like
they probably wouldn't like that.,i'm eating so much bread that i'm getting full.,probably like,eat bread get
i'm eating so much bread that i'm getting full.,then stop eating the bread!,eat bread get,stop eat bread
then stop eating the bread!,"okay, just one more piece. pass the butter, please.",stop eat bread,okay piece pass butter
"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course.",okay piece pass butter,own restaurant serve hot bread main course
"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.,own restaurant serve hot bread main course,terrible restaurant
is this a clean restaurant?,"well, the tables and chairs look okay.",clean restaurant,table chair look okay
"well, the tables and chairs look okay.","okay, let's sit down.",table chair look okay,okay let sit
"okay, let's sit down.",check out the silverware.,okay let sit,check silverware
check out the silverware.,it passes inspection.,check silverware,pass inspection
it passes inspection.,here comes the waiter. see if his hands and nails are clean.,pass inspection,come waiter hand nail clean
here comes the waiter. see if his hands and nails are clean.,"well, the waiter looked clean, so i guess it's okay to eat here.",come waiter hand nail clean,waiter look clean guess okay eat
"well, the waiter looked clean, so i guess it's okay to eat here.",you're forgetting about the bathroom.,waiter look clean guess okay eat,forget bathroom
you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.,forget bathroom,go hope bathroom clean
i'm going to just hope that the bathroom is clean.,you're not going to examine it before we order dinner?,go hope bathroom clean,go examine order dinner
you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.",go examine order dinner,find dirty pretty hungry right
"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.","me, too. let's forget about germs and focus on food.",find dirty pretty hungry right,let forget germ focus food
have you seen our waiter?,here he comes now.,see waiter,come
here he comes now.,we've been sitting here for almost 10 minutes.,come,sit minute
we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter.",sit minute,oops guess wrong waiter
"oops, i guess i was wrong. that isn't our waiter.","we can give him five more minutes, and then leave.",oops guess wrong waiter,minute leave
"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.,minute leave,talk manager
i'll go up front and talk to the manager.,that's a good idea.,talk manager,good idea
that's a good idea.,maybe they'll give us free drinks for waiting so long.,good idea,maybe free drink wait long
maybe they'll give us free drinks for waiting so long.,maybe he'll send us our waiter immediately.,maybe free drink wait long,maybe send waiter immediately
maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure.",maybe send waiter immediately,time eat adventure
"every time we eat out, it's an adventure.","last time, we got seats next to the kitchen.",time eat adventure,time get seat kitchen
"last time, we got seats next to the kitchen.",we'll never go there again.,time get seat kitchen,
